id;tipoproceso;codigo;descripcion
1;ESTRATEGICO;convergence radical killer;moderador Funcionario
2;APOYO;Ramal;out-of-the-box
3;APOYO;Realineado primary base;Malagasy
4;APOYO;Inteligente Investigación;parsing uniforme
5;ESTRATEGICO;concepto Identidad bidireccional;plataforma SSL
6;APOYO;online;Ergonómico Colon Genérico
7;ESTRATEGICO;Desarrollador Plástico Kuwait;Métricas
8;VALOR;bypassing Patatas Morado;hack
9;APOYO;generate Salchichas maximize;CSS Account Central
10;VALOR;platforms;eyeballs infrastructures
