id;propietario;titulo;disposicion;codigo_documento;numeracion_documento
1;Silver Berkshire Account;payment;ELIMINACION;quantify;Cuentas
2;Berkshire Borders;seize Madera parse;ACTUALIZACION;Granito;Mobilidad scale Futuro
3;Optimizado Rial withdrawal;Account override Inteligente;ELIMINACION;JSON Shilling Malawi;override Rojo
4;deposit Pescado Savings;Calidad Borders;ELIMINACION;Representante 24/365 experiences;Gris Gerente
5;THX transition División;neutral TCP Camiseta;CREACION;Guapo;hacking
6;Bedfordshire;Account;ACTUALIZACION;circuito Dollar;SMS a
7;Kuwait Uruguayo Fantástico;Dinamarca Conjunto;CREACION;codificar withdrawal;Práctico
8;Mesa;Cambridgeshire Sierra;ELIMINACION;override firewall Distribuido;Partida flexibilidad
9;SAS;matrix fritas Madera;ELIMINACION;bidireccional Plástico Berkshire;leverage bus
10;Atún Ejecutivo;Cantabria cross-media scalable;ACTUALIZACION;global;Rústico
